SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
1011,22/01/2016,Little,Bangalore,Consumer Internet,Deal Discovery App,GIC,Private Equity,,
1012,22/01/2016,SnapBizz,Bangalore,ECommerce,Mobile based Retail Market Ecosystem,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,7200000,
1013,22/01/2016,Qlivery,Gurgaon,Consumer Internet,on-demand concierge services,Chandigarh Angels Funding,Seed Funding,,
1014,22/01/2016,PlexusMD,Ahmedabad,Consumer Internet,Social Network for Healthcare Professionals,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,,
1015,22/01/2016,Silvan,Bangalore,Technology,Home Automation & Security Solutions,The Chennai Angels,Seed Funding,515000,
1016,22/01/2016,EPS,Mumbai,Technology,Electronic Payments Solution Company,APIS Partners,Private Equity,35000000,
1017,22/01/2016,Qubole,Bangalore,Technology,Enterprise Cloud Based Data Processing,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,30000000,
1018,22/01/2016,Gajty,Gurgaon,Healthcare,Salons & Spa Chain,Purvi Ventures,Seed Funding,,
1019,25/01/2016,SIFTR Labs,Mumbai,Consumer Internet,Photography curation & Aggregator platform,Venture Catalysts,Seed Funding,150000,
1020,25/01/2016,Power2SME,Gurgaon,Consumer Internet,SME Online Buying Hub,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,21000000,
1021,25/01/2016,SkyCandle,New Delhi,ECommerce,Home Décor Product etailer,GPA group,Private Equity,,
1022,27/01/2016,Teabox.com,Siliguri,ECommerce,Specialty Tea ETailer,Ratan Tata,Private Equity,,
1023,27/01/2016,Buildzar,Gurgaon,ECommerce,Construction Material ETailer,Puneet Dalmia,Private Equity,4000000,
1024,27/01/2016,Applicate,Bangalore,Technology,"Sales, Market, Distribution & Data Analytics Platform",Undisclosed investors,Seed Funding,1000000,
1025,27/01/2016,WhatsOnRent,Bangalore,ECommerce,Online Rental Marketplace,Lalit Mangal & Others,Seed Funding,,
1026,28/01/2016,Zebi (yet to launch),Hyderabad,Technology,Data Intelligence & Analytics,Un disclosed investors,Seed Funding,1000000,
1027,28/01/2016,Truce,Mumbai,FMCG,Vegetables & Fruits Supply Chain,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,370000,
1028,28/01/2016,JustDoc,Bangalore,Consumer Interne,Medical Video Consultation platform,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,,
1029,28/01/2016,Myeglu,Bangalore,Technology,Connected Smart Home Solutions,Foxconn Technology Group & Others,Seed Funding,,
1030,29/01/2016,BitGiving,New Delhi,Consumer Internet,Crowd Funding Platform,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,,
1031,29/01/2016,Qriyo,Jodhpur,Consumer Internet,Online Fitness & Educational information Aggregator,Idein Ventures,Seed Funding,160000,
1032,29/01/2016,N.O.W,Noida,Consumer Internet,Rental Bike Aggregator App,Maple Capital Advisors,Seed Funding,,
1033,29/01/2016,Aisle,Bangalore,Consumer Internet,Indians focused Matchmaking App,"TermSheet, ah! Ventures",Seed Funding,185000,
