startup_name,sector,city,total_raised,total_rounds,latest_round,last_raise,months_since_raise,recency_score,momentum_score,scale_score,stage_score_norm,health_score,risk_flag
Observe Ai,Technology,Bengaluru,8000000.0,1,Private Equity,2018-08-13,17.3,71.73202614379085,12.5,0.1859838826367307,83.33333333333334,44.9,"WATCH - Single round, going cold"
Get My Parking,Consumer Internet,Delhi,4476000.0,3,Private Equity,2017-09-12,28.4,53.59477124183007,37.5,0.10405798233525083,83.33333333333334,44.8,HIGH RISK - No raise in 24+ months
Pando,Logistics,Chennai,9000000.0,1,Series A,2020-01-13,0.0,100.0,12.5,0.20923186796632204,33.33333333333333,44.8,STABLE
Samosa Labs,Consumer Internet,Hyderabad,7000000.0,1,Private Equity,2018-08-02,17.6,71.24183006535947,12.5,0.16273589730713936,83.33333333333334,44.8,"WATCH - Single round, going cold"
Ezyhaul,Tech,Singapore,16000000.0,1,Series B,2019-07-10,6.2,89.86928104575163,12.5,0.3719677652734614,50.0,44.7,STABLE
Ziffyhomes,Consumer Internet,Gurgaon,120000.0,1,Private Equity,2018-08-03,17.6,71.24183006535947,12.5,0.0027897582395509605,83.33333333333334,44.7,"WATCH - Single round, going cold"
Infibeam,E-Commerce,Ahemadabad,15030000.0,2,Private Equity,2018-02-15,23.2,62.091503267973856,25.0,0.3494172195037578,83.33333333333334,44.7,MEDIUM RISK - No raise in 18+ months
Moneyonmobile,Technology,Mumbai,12600000.0,2,Private Equity,2018-02-14,23.3,61.9281045751634,25.0,0.29292461515285084,83.33333333333334,44.7,MEDIUM RISK - No raise in 18+ months
Bitla Software,Technology,Bengaluru,0.0,1,Private Equity,2018-07-26,17.9,70.75163398692811,12.5,0.0,83.33333333333334,44.6,"WATCH - Single round, going cold"
Black Soil,Finance,Mumbai,17000000.0,1,Private Equity,2018-07-25,17.9,70.75163398692811,12.5,0.3952157506030528,83.33333333333334,44.6,"WATCH - Single round, going cold"
Mobikon,Technology,Pune,9300000.0,3,Private Equity,2017-08-28,28.9,52.777777777777786,37.5,0.21620626356519942,83.33333333333334,44.6,HIGH RISK - No raise in 24+ months
Shirsa Labs,Ed-Tech,Mumbai,750000.0,2,Private Equity,2018-02-14,23.3,61.9281045751634,25.0,0.017435988997193504,83.33333333333334,44.6,MEDIUM RISK - No raise in 18+ months
Thecapitalnet,Fin-Tech,Hyderabad,500000.0,1,Private Equity,2018-07-26,17.9,70.75163398692811,12.5,0.01162399266479567,83.33333333333334,44.6,"WATCH - Single round, going cold"
Canvera,Consumer Internet,Mumbai,6500000.0,3,Private Equity,2017-09-01,28.8,52.94117647058824,37.5,0.1511119046423437,83.33333333333334,44.6,HIGH RISK - No raise in 24+ months
Inurture,Technology,Bengaluru,5900000.0,2,Private Equity,2018-01-31,23.7,61.274509803921575,25.0,0.1371631134445889,83.33333333333334,44.4,MEDIUM RISK - No raise in 18+ months
Shop 101,Consumer Internet,Mumbai,5000000.0,1,Private Equity,2018-07-10,18.4,69.93464052287581,12.5,0.11623992664795668,83.33333333333334,44.3,MEDIUM RISK - No raise in 18+ months
Kinara Capital,Finance,Bengaluru,5000000.0,1,Private Equity,2018-07-10,18.4,69.93464052287581,12.5,0.11623992664795668,83.33333333333334,44.3,MEDIUM RISK - No raise in 18+ months
The Wedding Brigade,Consumer internet,Mumbai,1600000.0,2,Private Equity,2018-01-29,23.8,61.11111111111111,25.0,0.03719677652734614,83.33333333333334,44.3,MEDIUM RISK - No raise in 18+ months
Sambandh,Consumer Internet,Rourkela,2500000.0,1,Private Equity,2018-07-11,18.4,69.93464052287581,12.5,0.05811996332397834,83.33333333333334,44.3,MEDIUM RISK - No raise in 18+ months
Ecozen,Technology,Pune,6000000.0,1,Series A,2019-12-12,1.1,98.20261437908496,12.5,0.13948791197754803,33.33333333333333,44.2,STABLE
Biz2Credit,FinTech,New York,52000000.0,1,Series B,2019-06-06,7.4,87.90849673202615,12.5,1.2088952371387496,50.0,44.1,STABLE
Hipbar,Consumer Internet,Bengaluru,4000000.0,1,Private Equity,2018-06-25,18.9,69.11764705882354,12.5,0.09299194131836536,83.33333333333334,44.0,MEDIUM RISK - No raise in 18+ months
