startup_name,total_rounds,first_round,last_round,total_raised
Tonetag,2,2015-08-10,2018-05-29,9000000.0
Cropin,2,2016-08-30,2017-09-25,2000000.0
Touchkin,2,2016-03-30,2017-08-01,1700000.0
Townscript,2,2015-02-11,2017-02-17,0.0
Crownit,2,2016-05-17,2016-08-26,0.0
Travel Triangle,2,2015-04-29,2017-02-07,18000000.0
Travelyaari,2,2016-06-27,2016-08-11,10000000.0
Treebo,2,2015-06-23,2017-08-30,40000000.0
Trell,2,2018-07-25,2019-12-14,3250000.0
Trilyo,2,2016-10-17,2018-02-27,250000.0
Cuemath,2,2016-06-07,2017-01-23,19000000.0
Tripshelf,2,2016-07-15,2016-12-16,373000.0
Curejoy,2,2015-09-18,2016-06-14,5550000.0
Shopx,2,2016-12-27,2018-08-07,40000000.0
Trukky,2,2015-08-14,2017-04-04,745000.0
Twigly,2,2015-11-02,2016-07-13,800000.0
Tyre Express,2,2017-01-20,2017-04-03,0.0
Curofy,2,2015-10-09,2017-12-14,250000.0
Daily Ninja,2,2016-08-02,2018-06-12,3000000.0
Unbxd,2,2016-05-05,2017-06-19,12500000.0
Darwinbox,2,2016-07-01,2017-06-19,4000000.0
Digit,2,2017-06-13,2018-07-24,45000000.0
Urban Tailor,2,2015-07-05,2016-07-13,0.0
Diro Labs,2,2016-06-16,2016-12-06,597000.0
Urbanpiper,2,2016-12-12,2018-03-22,0.0
Urdoorstep,2,2015-10-28,2016-12-05,1400000.0
Vebbler,2,2016-08-10,2017-02-22,540000.0
Vedantu,2,2015-05-07,2018-04-05,15000000.0
Vidooly,2,2015-06-04,2017-05-10,2400000.0
Villgro,2,2015-05-21,2016-01-19,6750000.0
Visit,2,2016-06-02,2018-04-22,0.0
Docsapp,2,2016-04-28,2017-12-13,8400000.0
Doctor Insta,2,2015-12-22,2016-12-12,2500000.0
Doormint,2,2015-04-18,2015-08-05,3000000.0
Doxper,2,2017-08-29,2018-04-22,2650000.0
Weddingz.In,2,2015-12-11,2017-01-19,2000000.0
Whatfix,2,2015-04-10,2017-04-04,4590000.0
Wheelstreet,2,2016-03-23,2017-09-14,620000.0
Zapyle,2,2015-09-11,2017-03-29,1000000.0
Zarget,2,2016-05-10,2016-11-03,7500000.0
Zefo,2,2016-11-15,2017-10-05,15200000.0
Dropkaffe,2,2015-08-31,2016-04-25,850000.0
Zendrive,2,2016-02-05,2019-08-23,50500000.0
Zenify,2,2015-07-14,2016-05-11,900000.0
Zenoti,2,2016-08-11,2019-05-02,65000000.0
Zestmoney,2,2017-02-15,2018-08-26,19900000.0
Druva,2,2016-04-22,2016-09-28,51000000.0
Zimmber,2,2015-06-29,2015-07-29,2400000.0
Zipgrid,2,2016-08-08,2017-05-22,700000.0
Early Salary,2,2017-05-11,2017-09-07,4780000.0
Zo Rooms,2,2015-07-20,2015-08-05,45000000.0
Easypolicy,2,2016-01-21,2016-11-03,12200000.0
Ecom Express,2,2015-06-04,2017-09-11,167000000.0
Edurev,2,2016-05-23,2017-02-08,40000.0
Elanic,2,2015-07-04,2017-10-04,0.0
3Hcare,2,2017-09-12,2018-09-04,1100000.0
6Degree,2,2015-11-11,2016-06-08,200000.0
91Springboard,2,2016-08-11,2017-09-21,0.0
Aasaanjobs,2,2015-01-24,2016-02-15,6500000.0
Ace Turtle,2,2017-05-08,2017-09-22,5000000.0
Active.Ai,2,2016-05-04,2016-11-14,3500000.0
Affordplan,2,2016-05-04,2016-11-29,3500000.0
Agrostar,2,2015-08-13,2017-03-07,14000000.0
Aisle,2,2016-01-29,2017-02-17,185000.0
Amagi Media Labs,2,2015-01-20,2016-12-15,35000000.0
Anchanto,2,2017-05-09,2018-07-04,4000000.0
Applicate,2,2015-05-04,2016-01-27,1550000.0
Applop,2,2015-12-04,2016-07-19,350000.0
Appsdaily,2,2015-03-31,2016-10-04,19750000.0
Appvirality,2,2015-01-13,2015-11-09,500000.0
